#h	k	l			DE/EP	Eback-scattering (eV)					
1	-5	3	35		1.43004247705923E-05	6482.7202157498
1	-5	-3	35		1.43004247705923E-05	6482.7202157498
-1	5	3	35		1.43004247705923E-05	6482.7202157498
-1	5	-3	35		1.43004247705923E-05	6482.7202157498
-1	-5	3	35		1.43004247705923E-05	6482.7202157498
-1	-5	-3	35		1.43004247705923E-05	6482.7202157498
3	1	5	35		1.43004247705923E-05	6482.7202157498
3	1	-5	35		1.43004247705923E-05	6482.7202157498
3	-1	5	35		1.43004247705923E-05	6482.7202157498
3	-1	-5	35		1.43004247705923E-05	6482.7202157498
-3	1	5	35		1.43004247705923E-05	6482.7202157498
-3	1	-5	35		1.43004247705923E-05	6482.7202157498
-3	-1	5	35		1.43004247705923E-05	6482.7202157498
-3	-1	-5	35		1.43004247705923E-05	6482.7202157498
3	5	1	35		1.43004247705923E-05	6482.7202157498
3	5	-1	35		1.43004247705923E-05	6482.7202157498
3	-5	1	35		1.43004247705923E-05	6482.7202157498
3	-5	-1	35		1.43004247705923E-05	6482.7202157498
-3	5	1	35		1.43004247705923E-05	6482.7202157498
-3	5	-1	35		1.43004247705923E-05	6482.7202157498
-3	-5	1	35		1.43004247705923E-05	6482.7202157498
-3	-5	-1	35		1.43004247705923E-05	6482.7202157498
5	1	3	35		1.43004247705923E-05	6482.7202157498
5	1	-3	35		1.43004247705923E-05	6482.7202157498
5	-1	3	35		1.43004247705923E-05	6482.7202157498
5	-1	-3	35		1.43004247705923E-05	6482.7202157498
-5	1	3	35		1.43004247705923E-05	6482.7202157498
-5	1	-3	35		1.43004247705923E-05	6482.7202157498
-5	-1	3	35		1.43004247705923E-05	6482.7202157498
-5	-1	-3	35		1.43004247705923E-05	6482.7202157498
5	3	1	35		1.43004247705923E-05	6482.7202157498
5	3	-1	35		1.43004247705923E-05	6482.7202157498
5	-3	1	35		1.43004247705923E-05	6482.7202157498
5	-3	-1	35		1.43004247705923E-05	6482.7202157498
-5	3	1	35		1.43004247705923E-05	6482.7202157498
-5	3	-1	35		1.43004247705923E-05	6482.7202157498
-5	-3	1	35		1.43004247705923E-05	6482.7202157498
-5	-3	-1	35		1.43004247705923E-05	6482.7202157498
0	2	6	40		1.61619038574978E-05	6930.3194233283
0	2	-6	40		1.61619038574978E-05	6930.3194233283
0	-2	6	40		1.61619038574978E-05	6930.3194233283
0	-2	-6	40		1.61619038574978E-05	6930.3194233283
0	6	2	40		1.61619038574978E-05	6930.3194233283
0	6	-2	40		1.61619038574978E-05	6930.3194233283
0	-6	2	40		1.61619038574978E-05	6930.3194233283
0	-6	-2	40		1.61619038574978E-05	6930.3194233283
2	0	6	40		1.61619038574978E-05	6930.3194233283
2	0	-6	40		1.61619038574978E-05	6930.3194233283
-2	0	6	40		1.61619038574978E-05	6930.3194233283
-2	0	-6	40		1.61619038574978E-05	6930.3194233283
2	6	0	40		1.61619038574978E-05	6930.3194233283
2	-6	0	40		1.61619038574978E-05	6930.3194233283
-2	6	0	40		1.61619038574978E-05	6930.3194233283
-2	-6	0	40		1.61619038574978E-05	6930.3194233283
6	0	2	40		1.61619038574978E-05	6930.3194233283
6	0	-2	40		1.61619038574978E-05	6930.3194233283
-6	0	2	40		1.61619038574978E-05	6930.3194233283
-6	0	-2	40		1.61619038574978E-05	6930.3194233283
6	2	0	40		1.61619038574978E-05	6930.3194233283
6	-2	0	40		1.61619038574978E-05	6930.3194233283
-6	2	0	40		1.61619038574978E-05	6930.3194233283
-6	-2	0	40		1.61619038574978E-05	6930.3194233283
3	3	5	43		1.02295898384994E-05	7185.5081140837
3	3	-5	43		1.02295898384994E-05	7185.5081140837
3	-3	5	43		1.02295898384994E-05	7185.5081140837
3	-3	-5	43		1.02295898384994E-05	7185.5081140837
-3	3	5	43		1.02295898384994E-05	7185.5081140837
-3	3	-5	43		1.02295898384994E-05	7185.5081140837
-3	-3	5	43		1.02295898384994E-05	7185.5081140837
-3	-3	-5	43		1.02295898384994E-05	7185.5081140837
3	5	3	43		1.02295898384994E-05	7185.5081140837
3	5	-3	43		1.02295898384994E-05	7185.5081140837
3	-5	3	43		1.02295898384994E-05	7185.5081140837
3	-5	-3	43		1.02295898384994E-05	7185.5081140837
-3	5	3	43		1.02295898384994E-05	7185.5081140837
-3	5	-3	43		1.02295898384994E-05	7185.5081140837
-3	-5	3	43		1.02295898384994E-05	7185.5081140837
-3	-5	-3	43		1.02295898384994E-05	7185.5081140837
5	3	3	43		1.02295898384994E-05	7185.5081140837
5	3	-3	43		1.02295898384994E-05	7185.5081140837
5	-3	3	43		1.02295898384994E-05	7185.5081140837
5	-3	-3	43		1.02295898384994E-05	7185.5081140837
-5	3	3	43		1.02295898384994E-05	7185.5081140837
-5	3	-3	43		1.02295898384994E-05	7185.5081140837
-5	-3	3	43		1.02295898384994E-05	7185.5081140837
-5	-3	-3	43		1.02295898384994E-05	7185.5081140837
4	4	4	48		1.18688909403877E-05	7591.7845577462
4	4	-4	48		1.18688909403877E-05	7591.7845577462
