# h	k	l			DE/EP	Eback-scattering (eV)					
4	-4	-4	48		4.95691839167416E-06	7908.263152993
-4	4	4	48		4.95691839167416E-06	7908.263152993
-4	4	-4	48		4.95691839167416E-06	7908.263152993
-4	-4	4	48		4.95691839167416E-06	7908.263152993
-4	-4	-4	48		4.95691839167416E-06	7908.263152993
1	1	7	51		3.1773217757808E-06	8151.6510737426
1	1	-7	51		3.1773217757808E-06	8151.6510737426
1	-1	7	51		3.1773217757808E-06	8151.6510737426
1	-1	-7	51		3.1773217757808E-06	8151.6510737426
-1	1	7	51		3.1773217757808E-06	8151.6510737426
-1	1	-7	51		3.1773217757808E-06	8151.6510737426
-1	-1	7	51		3.1773217757808E-06	8151.6510737426
-1	-1	-7	51		3.1773217757808E-06	8151.6510737426
1	5	5	51		3.1773217757808E-06	8151.6510737426
1	5	-5	51		3.1773217757808E-06	8151.6510737426
1	-5	5	51		3.1773217757808E-06	8151.6510737426
1	-5	-5	51		3.1773217757808E-06	8151.6510737426
-1	5	5	51		3.1773217757808E-06	8151.6510737426
-1	5	-5	51		3.1773217757808E-06	8151.6510737426
-1	-5	5	51		3.1773217757808E-06	8151.6510737426
-1	-5	-5	51		3.1773217757808E-06	8151.6510737426
1	7	1	51		3.1773217757808E-06	8151.6510737426
1	7	-1	51		3.1773217757808E-06	8151.6510737426
1	-7	1	51		3.1773217757808E-06	8151.6510737426
1	-7	-1	51		3.1773217757808E-06	8151.6510737426
-1	7	1	51		3.1773217757808E-06	8151.6510737426
-1	7	-1	51		3.1773217757808E-06	8151.6510737426
-1	-7	1	51		3.1773217757808E-06	8151.6510737426
-1	-7	-1	51		3.1773217757808E-06	8151.6510737426
5	1	5	51		3.1773217757808E-06	8151.6510737426
5	1	-5	51		3.1773217757808E-06	8151.6510737426
5	-1	5	51		3.1773217757808E-06	8151.6510737426
5	-1	-5	51		3.1773217757808E-06	8151.6510737426
-5	1	5	51		3.1773217757808E-06	8151.6510737426
-5	1	-5	51		3.1773217757808E-06	8151.6510737426
-5	-1	5	51		3.1773217757808E-06	8151.6510737426
-5	-1	-5	51		3.1773217757808E-06	8151.6510737426
5	5	1	51		3.1773217757808E-06	8151.6510737426
5	5	-1	51		3.1773217757808E-06	8151.6510737426
5	-5	1	51		3.1773217757808E-06	8151.6510737426
5	-5	-1	51		3.1773217757808E-06	8151.6510737426
-5	5	1	51		3.1773217757808E-06	8151.6510737426
-5	5	-1	51		3.1773217757808E-06	8151.6510737426
-5	-5	1	51		3.1773217757808E-06	8151.6510737426
-5	-5	-1	51		3.1773217757808E-06	8151.6510737426
7	1	1	51		3.1773217757808E-06	8151.6510737426
7	1	-1	51		3.1773217757808E-06	8151.6510737426
7	-1	1	51		3.1773217757808E-06	8151.6510737426
7	-1	-1	51		3.1773217757808E-06	8151.6510737426
-7	1	1	51		3.1773217757808E-06	8151.6510737426
-7	1	-1	51		3.1773217757808E-06	8151.6510737426
-7	-1	1	51		3.1773217757808E-06	8151.6510737426
-7	-1	-1	51		3.1773217757808E-06	8151.6510737426
2	4	6	56		3.78142352116938E-06	8541.9004782202
2	4	-6	56		3.78142352116938E-06	8541.9004782202
2	-4	6	56		3.78142352116938E-06	8541.9004782202
2	-4	-6	56		3.78142352116938E-06	8541.9004782202
-2	4	6	56		3.78142352116938E-06	8541.9004782202
-2	4	-6	56		3.78142352116938E-06	8541.9004782202
-2	-4	6	56		3.78142352116938E-06	8541.9004782202
-2	-4	-6	56		3.78142352116938E-06	8541.9004782202
2	6	4	56		3.78142352116938E-06	8541.9004782202
2	6	-4	56		3.78142352116938E-06	8541.9004782202
2	-6	4	56		3.78142352116938E-06	8541.9004782202
2	-6	-4	56		3.78142352116938E-06	8541.9004782202
-2	6	4	56		3.78142352116938E-06	8541.9004782202
-2	6	-4	56		3.78142352116938E-06	8541.9004782202
-2	-6	4	56		3.78142352116938E-06	8541.9004782202
-2	-6	-4	56		3.78142352116938E-06	8541.9004782202
4	2	6	56		3.78142352116938E-06	8541.9004782202
4	2	-6	56		3.78142352116938E-06	8541.9004782202
4	-2	6	56		3.78142352116938E-06	8541.9004782202
4	-2	-6	56		3.78142352116938E-06	8541.9004782202
-4	2	6	56		3.78142352116938E-06	8541.9004782202
-4	2	-6	56		3.78142352116938E-06	8541.9004782202
-4	-2	6	56		3.78142352116938E-06	8541.9004782202
-4	-2	-6	56		3.78142352116938E-06	8541.9004782202
4	6	2	56		3.78142352116938E-06	8541.9004782202
4	6	-2	56		3.78142352116938E-06	8541.9004782202
4	-6	2	56		3.78142352116938E-06	8541.9004782202
4	-6	-2	56		3.78142352116938E-06	8541.9004782202
-4	6	2	56		3.78142352116938E-06	8541.9004782202
-4	6	-2	56		3.78142352116938E-06	8541.9004782202
-4	-6	2	56		3.78142352116938E-06	8541.9004782202
-4	-6	-2	56		3.78142352116938E-06	8541.9004782202
6	2	4	56		3.78142352116938E-06	8541.9004782202
6	2	-4	56		3.78142352116938E-06	8541.9004782202
6	-2	4	56		3.78142352116938E-06	8541.9004782202
6	-2	-4	56		3.78142352116938E-06	8541.9004782202
-6	2	4	56		3.78142352116938E-06	8541.9004782202
-6	2	-4	56		3.78142352116938E-06	8541.9004782202
-6	-2	4	56		3.78142352116938E-06	8541.9004782202
-6	-2	-4	56		3.78142352116938E-06	8541.9004782202
6	4	2	56		3.78142352116938E-06	8541.9004782202
6	4	-2	56		3.78142352116938E-06	8541.9004782202
6	-4	2	56		3.78142352116938E-06	8541.9004782202
6	-4	-2	56		3.78142352116938E-06	8541.9004782202
-6	4	2	56		3.78142352116938E-06	8541.9004782202
-6	4	-2	56		3.78142352116938E-06	8541.9004782202
-6	-4	2	56		3.78142352116938E-06	8541.9004782202
-6	-4	-2	56		3.78142352116938E-06	8541.9004782202
1	3	7	59		2.4522199205572E-06	8767.7165163388
1	3	-7	59		2.4522199205572E-06	8767.7165163388
1	-3	7	59		2.4522199205572E-06	8767.7165163388
1	-3	-7	59		2.4522199205572E-06	8767.7165163388
-1	3	7	59		2.4522199205572E-06	8767.7165163388
-1	3	-7	59		2.4522199205572E-06	8767.7165163388
-1	-3	7	59		2.4522199205572E-06	8767.7165163388
-1	-3	-7	59		2.4522199205572E-06	8767.7165163388
1	7	3	59		2.4522199205572E-06	8767.7165163388
1	7	-3	59		2.4522199205572E-06	8767.7165163388
1	-7	3	59		2.4522199205572E-06	8767.7165163388
1	-7	-3	59		2.4522199205572E-06	8767.7165163388
-1	7	3	59		2.4522199205572E-06	8767.7165163388
-1	7	-3	59		2.4522199205572E-06	8767.7165163388
-1	-7	3	59		2.4522199205572E-06	8767.7165163388
-1	-7	-3	59		2.4522199205572E-06	8767.7165163388
3	1	7	59		2.4522199205572E-06	8767.7165163388
3	1	-7	59		2.4522199205572E-06	8767.7165163388
3	-1	7	59		2.4522199205572E-06	8767.7165163388
3	-1	-7	59		2.4522199205572E-06	8767.7165163388
-3	1	7	59		2.4522199205572E-06	8767.7165163388
-3	1	-7	59		2.4522199205572E-06	8767.7165163388
-3	-1	7	59		2.4522199205572E-06	8767.7165163388
-3	-1	-7	59		2.4522199205572E-06	8767.7165163388
3	5	5	59		2.4522199205572E-06	8767.7165163388
3	5	-5	59		2.4522199205572E-06	8767.7165163388
3	-5	5	59		2.4522199205572E-06	8767.7165163388
3	-5	-5	59		2.4522199205572E-06	8767.7165163388
-3	5	5	59		2.4522199205572E-06	8767.7165163388
-3	5	-5	59		2.4522199205572E-06	8767.7165163388
-3	-5	5	59		2.4522199205572E-06	8767.7165163388
-3	-5	-5	59		2.4522199205572E-06	8767.7165163388
3	7	1	59		2.4522199205572E-06	8767.7165163388
3	7	-1	59		2.4522199205572E-06	8767.7165163388
3	-7	1	59		2.4522199205572E-06	8767.7165163388
3	-7	-1	59		2.4522199205572E-06	8767.7165163388
-3	7	1	59		2.4522199205572E-06	8767.7165163388
-3	7	-1	59		2.4522199205572E-06	8767.7165163388
-3	-7	1	59		2.4522199205572E-06	8767.7165163388
-3	-7	-1	59		2.4522199205572E-06	8767.7165163388
5	3	5	59		2.4522199205572E-06	8767.7165163388
5	3	-5	59		2.4522199205572E-06	8767.7165163388
5	-3	5	59		2.4522199205572E-06	8767.7165163388
5	-3	-5	59		2.4522199205572E-06	8767.7165163388
-5	3	5	59		2.4522199205572E-06	8767.7165163388
-5	3	-5	59		2.4522199205572E-06	8767.7165163388
-5	-3	5	59		2.4522199205572E-06	8767.7165163388
-5	-3	-5	59		2.4522199205572E-06	8767.7165163388
5	5	3	59		2.4522199205572E-06	8767.7165163388
5	5	-3	59		2.4522199205572E-06	8767.7165163388
5	-5	3	59		2.4522199205572E-06	8767.7165163388
5	-5	-3	59		2.4522199205572E-06	8767.7165163388
-5	5	3	59		2.4522199205572E-06	8767.7165163388
-5	5	-3	59		2.4522199205572E-06	8767.7165163388
-5	-5	3	59		2.4522199205572E-06	8767.7165163388
-5	-5	-3	59		2.4522199205572E-06	8767.7165163388
7	1	3	59		2.4522199205572E-06	8767.7165163388
7	1	-3	59		2.4522199205572E-06	8767.7165163388
7	-1	3	59		2.4522199205572E-06	8767.7165163388
7	-1	-3	59		2.4522199205572E-06	8767.7165163388
-7	1	3	59		2.4522199205572E-06	8767.7165163388
-7	1	-3	59		2.4522199205572E-06	8767.7165163388
-7	-1	3	59		2.4522199205572E-06	8767.7165163388
-7	-1	-3	59		2.4522199205572E-06	8767.7165163388
7	3	1	59		2.4522199205572E-06	8767.7165163388
7	3	-1	59		2.4522199205572E-06	8767.7165163388
7	-3	1	59		2.4522199205572E-06	8767.7165163388
7	-3	-1	59		2.4522199205572E-06	8767.7165163388
-7	3	1	59		2.4522199205572E-06	8767.7165163388
-7	3	-1	59		2.4522199205572E-06	8767.7165163388
-7	-3	1	59		2.4522199205572E-06	8767.7165163388
-7	-3	-1	59		2.4522199205572E-06	8767.7165163388
0	0	8	64		2.95679324759886E-06	9131.6757204058
0	0	-8	64		2.95679324759886E-06	9131.6757204058
0	8	0	64		2.95679324759886E-06	9131.6757204058
0	-8	0	64		2.95679324759886E-06	9131.6757204058
8	0	0	64		2.95679324759886E-06	9131.6757204058
-8	0	0	64		2.95679324759886E-06	9131.6757204058
3	3	7	67		1.92655938087026E-06	9343.248396233
3	3	-7	67		1.92655938087026E-06	9343.248396233
3	-3	7	67		1.92655938087026E-06	9343.248396233
3	-3	-7	67		1.92655938087026E-06	9343.248396233
-3	3	7	67		1.92655938087026E-06	9343.248396233
-3	3	-7	67		1.92655938087026E-06	9343.248396233
-3	-3	7	67		1.92655938087026E-06	9343.248396233
-3	-3	-7	67		1.92655938087026E-06	9343.248396233
3	7	3	67		1.92655938087026E-06	9343.248396233
3	7	-3	67		1.92655938087026E-06	9343.248396233
3	-7	3	67		1.92655938087026E-06	9343.248396233
3	-7	-3	67		1.92655938087026E-06	9343.248396233
-3	7	3	67		1.92655938087026E-06	9343.248396233
-3	7	-3	67		1.92655938087026E-06	9343.248396233
-3	-7	3	67		1.92655938087026E-06	9343.248396233
-3	-7	-3	67		1.92655938087026E-06	9343.248396233
7	3	3	67		1.92655938087026E-06	9343.248396233
7	3	-3	67		1.92655938087026E-06	9343.248396233
7	-3	3	67		1.92655938087026E-06	9343.248396233
7	-3	-3	67		1.92655938087026E-06	9343.248396233
-7	3	3	67		1.92655938087026E-06	9343.248396233
-7	3	-3	67		1.92655938087026E-06	9343.248396233
-7	-3	3	67		1.92655938087026E-06	9343.248396233
-7	-3	-3	67		1.92655938087026E-06	9343.248396233
0	6	6	72		2.36437686262886E-06	9685.6047382433
0	6	-6	72		2.36437686262886E-06	9685.6047382433
0	-6	6	72		2.36437686262886E-06	9685.6047382433
0	-6	-6	72		2.36437686262886E-06	9685.6047382433
2	2	8	72		2.36437686262886E-06	9685.6047382433
2	2	-8	72		2.36437686262886E-06	9685.6047382433
2	-2	8	72		2.36437686262886E-06	9685.6047382433
2	-2	-8	72		2.36437686262886E-06	9685.6047382433
-2	2	8	72		2.36437686262886E-06	9685.6047382433
-2	2	-8	72		2.36437686262886E-06	9685.6047382433
-2	-2	8	72		2.36437686262886E-06	9685.6047382433
-2	-2	-8	72		2.36437686262886E-06	9685.6047382433
2	8	2	72		2.36437686262886E-06	9685.6047382433
2	8	-2	72		2.36437686262886E-06	9685.6047382433
2	-8	2	72		2.36437686262886E-06	9685.6047382433
2	-8	-2	72		2.36437686262886E-06	9685.6047382433
-2	8	2	72		2.36437686262886E-06	9685.6047382433
-2	8	-2	72		2.36437686262886E-06	9685.6047382433
-2	-8	2	72		2.36437686262886E-06	9685.6047382433
-2	-8	-2	72		2.36437686262886E-06	9685.6047382433
6	0	6	72		2.36437686262886E-06	9685.6047382433
6	0	-6	72		2.36437686262886E-06	9685.6047382433
-6	0	6	72		2.36437686262886E-06	9685.6047382433
-6	0	-6	72		2.36437686262886E-06	9685.6047382433
6	6	0	72		2.36437686262886E-06	9685.6047382433
